      0.0500          0.94997   0.86111   1.00000
      0.1500          0.85000   1.00000   0.74300
      0.2500          0.75000   1.00000   0.48500
      0.3500          0.65000   1.00000   0.38600
      0.4500          0.55000   1.00000   0.32600
      0.5500          0.45000   1.00000   0.26600
      0.6500          0.35000   1.00000   0.23500
      0.7500          0.25000   1.00000   0.20400
      0.8500          0.15000   1.00000   0.19600
      0.9500          0.05000   1.00000   0.18800
